# 2x2x2 controlled study: {FlowLog,Souffle} x {doop.dl,context-insensitive} x {xalan,h2o}.
# FlowLog: --str-intern, -w32 (left-to-right, .plan commented out in doop.dl, none in ctx).
# Souffle: -j32 compile AND run (libgomp parallel), .plan stripped from both programs (left-to-right).
# Same overlay facts (symlinks + empty keep-spec defaults). /usr/bin/time -v for wall + max RSS.
# user_s = total CPU work (user-time) = the key metric. VPT cross-checked equal where output.
engine,program,dataset,wall_s,user_cpu_s,cpu_pct,peak_rss_gb,solve_s,varpointsto
flowlog,doop,xalan,2.51,72.16,2998,2.18,2.47,2741586
souffle,doop,xalan,10.91,106.62,983,0.96,NA,2741586
flowlog,doop,h2o,12.72,359.16,2950,8.15,12.54,17911631
souffle,doop,h2o,63.16,406.08,649,5.49,NA,17911631
flowlog,context_insensitive,xalan,38.54,1203.69,3141,4.81,37.98,2387458
souffle,context_insensitive,xalan,32.88,439.13,1347,2.64,NA,2387458
flowlog,context_insensitive,h2o,387.92,12275.91,3177,24.04,385.67,8348153
souffle,context_insensitive,h2o,213.53,2100.30,1005,28.93,NA,8348153
#
# Derived (FlowLog/Souffle): doop wall 0.20-0.23x (FL 4-5x FASTER), ctx wall 1.17-1.82x (FL slower).
# CPU work FL/SF: doop 0.68-0.88x (FL <= SF), ctx 2.74x (xalan) / 5.84x (h2o) -- the regression is CPU WORK.
# Memory FL/SF: doop 1.5-2.3x more; ctx xalan 1.8x more; ctx h2o 0.83x (FL LESS at scale, str-intern).
#
# FL-ctx xalan worker sweep (wall saturates at 16; -w32 doubles CPU+mem for 0 wall gain; -w48 regresses):
# workers,wall_s,user_cpu_s,rss_gb
# 4,48.42,191.58,2.57
# 8,41.01,324.29,2.90
# 16,38.36,603.28,3.61
# 32,38.70,1210.02,4.77
# 48,61.07,2869.30,5.87
#
# Structural (read from generated Rust + souffle --show): recursive SCC is the SAME size in both
# engines (FlowLog 73 Variable, Souffle 72 relations). Souffle inlines 602->375 relations; FlowLog
# prunes 602->437 (keeps ~62 MORE, all NON-recursive). So .comp/inlining is minor (1.17x relations);
# the CPU-work gap is differential-dataflow per-round arrangement/trace maintenance over the shared
# ~72-relation SCC x ~50 rounds, amplified by over-parallelization.
#
# OVER-PARALLELIZATION DIAGNOSIS (FL-ctx xalan, same binary):
# Hardware ruled out: EPYC 7763, 1 socket/1 NUMA, 32 phys cores x2 SMT, L3 per 16 vCPU chiplet.
#  - L3 locality (8w): local 43.2s/337cpu, cross-chiplet 43.4s/339cpu, default 42.8s/338cpu  => no effect
#  - SMT (32w): 32 physical-cores 40.4s/1256cpu vs default 40.7s/1269cpu  => no effect
# Cause = timely per-worker control plane (SPMD): each worker schedules all ~1000 operators +
# tracks frontiers every ~50 rounds; overhead replicated per worker, not divided.
# CPU work onset (workers: user_cpu_s): 1:72.33, 2:114.08, 4:191.58, 8:337.39, 16:603.28, 32:1262, 48:2869.30
#   => CPU(w) ~= 72 + 36*(w-1); at w32, 94% is replicated overhead; intrinsic work only ~72s.
# wall(w): 1:74.65, 2:58.54, 4:48.42, 8:42.83, 16:38.36, 32:40.55, 48:61.07  => floor ~38s; knee at 16.
# Parallel efficiency at w16 = 72/(38.4*16) = ~12% (overhead-bound, not compute-bound).
# Scale-up levers: shrink operator graph (fusion/arrangement-sharing/inline 62 copy rels),
#   stratify the 72-relation SCC (fewer rounds), skip empty-delta operators, coarsen batches.
#
# IS IT FUNDAMENTAL TO DD/TD? Same engine, small vs large graph, xalan worker sweep:
# FL-doop (8-rel/77-join SCC, few rounds) CPU by w: 1:12.06, 2:17.80, 4:22.89, 8:29.74, 16:41.24, 32:72.31
# FL-doop wall by w: 1:12.53, 2:9.20, 4:5.95, 8:3.93, 16:2.78, 32:2.52  => KEEPS scaling to 32.
# FL-ctx (73-rel/439-join SCC, ~50 rounds) CPU by w: 1:72.33 ... 32:1262  => saturates at 16.
# Per-worker overhead slope: doop ~1.9 s/w vs ctx ~38 s/w = 19x ~= (operators x rounds) ratio.
# Verdict: NOT a universal DD/TD limit. Fundamental = SPMD graph replication + per-round global
# progress tracking (overhead ~ operators x rounds x workers). Magnitude is set by the compiled
# graph (439 joins/440 arrangements/50 rounds) -> fusion/sharing/inlining/SCC-stratification raise
# the knee, within DD/TD. Souffle differs architecturally (one control flow, intra-operator
# parallel-for over shared B-trees) so its overhead does not scale with operator count.
